PLOSPaperID,round,decision_date,response_date,duration_days,stage_type
pone.0227213,0,2019-10-08,2019-11-22,45,author_revision
pone.0227216,0,2019-10-07,2019-11-09,33,author_revision
pone.0227218,0,2019-10-07,2019-10-24,17,author_revision
pone.0227218,1,2019-12-03,2019-12-06,3,author_revision
pone.0227220,0,2019-11-21,2019-12-11,20,author_revision
pone.0227229,0,2019-10-31,2019-12-06,36,author_revision
pone.0227230,0,2019-12-02,2019-12-07,5,author_revision
pone.0227233,0,2019-10-23,2019-12-06,44,author_revision
pone.0227235,0,2019-11-27,2019-12-12,15,author_revision
pone.0227238,0,2020-01-20,2020-02-17,28,author_revision
pone.0227239,0,2020-01-09,2020-02-20,42,author_revision
pone.0227239,1,2020-05-06,2020-06-20,45,author_revision
pone.0227239,2,2020-08-03,2020-09-08,36,author_revision
pone.0227240,0,2020-01-20,2020-03-04,44,author_revision
pone.0227240,1,2020-03-19,2020-03-23,4,author_revision
pone.0227243,0,2019-10-14,2019-11-27,44,author_revision
pone.0227244,0,2019-10-21,2019-12-06,46,author_revision
pone.0227246,0,2019-09-18,2019-11-20,63,author_revision
pone.0227252,0,2019-10-21,2019-12-02,42,author_revision
pone.0227259,0,2019-09-11,2019-11-12,62,author_revision
pone.0227261,0,2019-10-15,2019-11-30,46,author_revision
pone.0227262,0,2019-11-04,2019-11-18,14,author_revision
pone.0227279,0,2019-10-17,2019-12-03,47,author_revision
pone.0227280,0,2019-11-21,2019-12-10,19,author_revision
pone.0227282,0,2019-09-27,2019-12-07,71,author_revision
pone.0227283,0,2019-10-31,2019-12-13,43,author_revision
pone.0227287,0,2019-10-14,2019-12-03,50,author_revision
pone.0227293,0,2019-09-10,2019-09-16,6,author_revision
pone.0227293,1,2019-12-04,2019-12-04,0,author_revision
pone.0227295,0,2019-09-06,2019-10-01,25,author_revision
pone.0227295,1,2019-10-16,2019-11-27,42,author_revision
pone.0227303,0,2019-07-23,2019-10-06,75,author_revision
pone.0227303,1,2019-10-29,2019-12-08,40,author_revision
pone.0227306,0,2019-09-20,2019-10-22,32,author_revision
pone.0227306,1,2019-11-05,2019-11-26,21,author_revision
pone.0227306,2,2019-12-09,2019-12-09,0,author_revision
pone.0227313,0,2019-08-09,2019-08-23,14,author_revision
pone.0227313,1,2019-10-16,2019-10-21,5,author_revision
pone.0227314,0,2019-10-04,2019-11-20,47,author_revision
pone.0227314,1,2019-12-03,2019-12-10,7,author_revision
pone.0227323,0,2019-10-07,2019-10-27,20,author_revision
pone.0227323,1,2019-11-11,2019-12-04,23,author_revision
pone.0227324,0,2019-09-26,2019-11-14,49,author_revision
pone.0227325,0,2019-12-10,2019-12-13,3,author_revision
pone.0227326,0,2019-11-20,2019-12-11,21,author_revision
pone.0227336,0,2019-11-08,2019-12-06,28,author_revision
pone.0227337,0,2019-10-27,2019-12-11,45,author_revision
pone.0227338,0,2019-07-25,2019-10-11,78,author_revision
pone.0227338,1,2019-11-20,2019-12-11,21,author_revision
pone.0227366,0,2019-08-22,2019-11-18,88,author_revision
pone.0227367,0,2019-10-18,2019-12-12,55,author_revision
pone.0227369,0,2019-11-15,2019-11-28,13,author_revision
pone.0227370,0,2019-10-09,2019-11-15,37,author_revision
pone.0227370,1,2019-12-09,2019-12-11,2,author_revision
pone.0227377,0,2019-11-05,2019-11-25,20,author_revision
pone.0227378,0,2019-09-19,2019-11-12,54,author_revision
pone.0227379,0,2019-09-19,2019-11-14,56,author_revision
pone.0227381,0,2019-10-25,2019-12-09,45,author_revision
pone.0227384,0,2019-10-30,2019-12-10,41,author_revision
pone.0227386,0,2019-11-06,2019-12-06,30,author_revision
pone.0227393,0,2020-01-14,2020-02-25,42,author_revision
pone.0227396,0,2020-01-29,2020-03-11,42,author_revision
pone.0227396,1,2020-03-31,2020-04-16,16,author_revision
pone.0227399,0,2019-10-21,2019-11-19,29,author_revision
pone.0227400,0,2019-09-20,2019-10-15,25,author_revision
pone.0227400,1,2019-11-05,2019-12-12,37,author_revision
pone.0227421,0,2019-09-10,2019-11-10,61,author_revision
pone.0227422,0,2019-12-04,2019-12-09,5,author_revision
pone.0227423,0,2019-12-12,2019-12-16,4,author_revision
pone.0227427,0,2019-10-31,2019-12-04,34,author_revision
pone.0227428,0,2019-11-18,2019-12-16,28,author_revision
pone.0227429,0,2019-09-27,2019-10-27,30,author_revision
pone.0227429,1,2019-11-01,2019-12-07,36,author_revision
pone.0227433,0,2019-10-02,2019-11-29,58,author_revision
pone.0227435,0,2019-08-14,2019-11-10,88,author_revision
pone.0227435,1,2019-12-12,2019-12-16,4,author_revision
