pmid,pmc,publisher-id,doi,File,other,pii
16920741,PMC1616971,,10.1093/nar/gkl530,PMC001xxxxxx/PMC1616971.xml,,
16275757,PMC1626352,200504015,10.1083/jcb.200504015,PMC001xxxxxx/PMC1626352.xml,,
15024031,PMC1630494,200311121,10.1083/jcb.200311121,PMC001xxxxxx/PMC1630494.xml,,
17082206,PMC1634735,,10.1093/nar/gkl774,PMC001xxxxxx/PMC1634735.xml,,
17082205,PMC1634736,,10.1093/nar/gkl778,PMC001xxxxxx/PMC1634736.xml,,
16982648,PMC1635243,,10.1093/nar/gkl434,PMC001xxxxxx/PMC1635243.xml,,
16982647,PMC1635244,,10.1093/nar/gkl464,PMC001xxxxxx/PMC1635244.xml,,
16971464,PMC1635245,,10.1093/nar/gkl465,PMC001xxxxxx/PMC1635245.xml,,
16982646,PMC1635246,,10.1093/nar/gkl472,PMC001xxxxxx/PMC1635246.xml,,
16971460,PMC1635247,,10.1093/nar/gkl480,PMC001xxxxxx/PMC1635247.xml,,
16984969,PMC1635248,,10.1093/nar/gkl493,PMC001xxxxxx/PMC1635248.xml,,
16973899,PMC1635249,,10.1093/nar/gkl502,PMC001xxxxxx/PMC1635249.xml,,
17068081,PMC1635250,,10.1093/nar/gkl511,PMC001xxxxxx/PMC1635250.xml,,
17038335,PMC1635251,,10.1093/nar/gkl533,PMC001xxxxxx/PMC1635251.xml,,
16966338,PMC1635252,,10.1093/nar/gkl546,PMC001xxxxxx/PMC1635252.xml,,
17003057,PMC1635253,,10.1093/nar/gkl548,PMC001xxxxxx/PMC1635253.xml,,
17041235,PMC1635254,,10.1093/nar/gkl551,PMC001xxxxxx/PMC1635254.xml,,
16973898,PMC1635255,,10.1093/nar/gkl552,PMC001xxxxxx/PMC1635255.xml,,
16971463,PMC1635256,,10.1093/nar/gkl553,PMC001xxxxxx/PMC1635256.xml,,
16963778,PMC1635257,,10.1093/nar/gkl555,PMC001xxxxxx/PMC1635257.xml,,
16973897,PMC1635258,,10.1093/nar/gkl564,PMC001xxxxxx/PMC1635258.xml,,
16971462,PMC1635259,,10.1093/nar/gkl581,PMC001xxxxxx/PMC1635259.xml,,
17023487,PMC1635260,,10.1093/nar/gkl584,PMC001xxxxxx/PMC1635260.xml,,
17041233,PMC1635261,,10.1093/nar/gkl585,PMC001xxxxxx/PMC1635261.xml,,
16963777,PMC1635262,,10.1093/nar/gkl588,PMC001xxxxxx/PMC1635262.xml,,
16971459,PMC1635263,,10.1093/nar/gkl593,PMC001xxxxxx/PMC1635263.xml,,
17071965,PMC1635264,,10.1093/nar/gkl594,PMC001xxxxxx/PMC1635264.xml,,
16982645,PMC1635265,,10.1093/nar/gkl595,PMC001xxxxxx/PMC1635265.xml,,
17040895,PMC1635266,,10.1093/nar/gkl600,PMC001xxxxxx/PMC1635266.xml,,
16982644,PMC1635267,,10.1093/nar/gkl601,PMC001xxxxxx/PMC1635267.xml,,
16971458,PMC1635268,,10.1093/nar/gkl602,PMC001xxxxxx/PMC1635268.xml,,
16973896,PMC1635269,,10.1093/nar/gkl606,PMC001xxxxxx/PMC1635269.xml,,
16982643,PMC1635270,,10.1093/nar/gkl607,PMC001xxxxxx/PMC1635270.xml,,
17068082,PMC1635271,,10.1093/nar/gkl608,PMC001xxxxxx/PMC1635271.xml,,
16971457,PMC1635272,,10.1093/nar/gkl615,PMC001xxxxxx/PMC1635272.xml,,
16982642,PMC1635273,,10.1093/nar/gkl620,PMC001xxxxxx/PMC1635273.xml,,
17074748,PMC1635274,,10.1093/nar/gkl622,PMC001xxxxxx/PMC1635274.xml,,
16963776,PMC1635275,,10.1093/nar/gkl625,PMC001xxxxxx/PMC1635275.xml,,
16982641,PMC1635276,,10.1093/nar/gkl627,PMC001xxxxxx/PMC1635276.xml,,
16963495,PMC1635277,,10.1093/nar/gkl629,PMC001xxxxxx/PMC1635277.xml,,
16971461,PMC1635278,,10.1093/nar/gkl631,PMC001xxxxxx/PMC1635278.xml,,
17074747,PMC1635279,,10.1093/nar/gkl633,PMC001xxxxxx/PMC1635279.xml,,
17000637,PMC1635280,,10.1093/nar/gkl635,PMC001xxxxxx/PMC1635280.xml,,
16963775,PMC1635281,,10.1093/nar/gkl636,PMC001xxxxxx/PMC1635281.xml,,
17000636,PMC1635282,,10.1093/nar/gkl639,PMC001xxxxxx/PMC1635282.xml,,
16982640,PMC1635283,,10.1093/nar/gkl643,PMC001xxxxxx/PMC1635283.xml,,
16984968,PMC1635284,,10.1093/nar/gkl644,PMC001xxxxxx/PMC1635284.xml,,
16971456,PMC1635285,,10.1093/nar/gkl645,PMC001xxxxxx/PMC1635285.xml,,
16971455,PMC1635286,,10.1093/nar/gkl646,PMC001xxxxxx/PMC1635286.xml,,
16971454,PMC1635287,,10.1093/nar/gkl650,PMC001xxxxxx/PMC1635287.xml,,
16973895,PMC1635288,,10.1093/nar/gkl651,PMC001xxxxxx/PMC1635288.xml,,
16973894,PMC1635289,,10.1093/nar/gkl653,PMC001xxxxxx/PMC1635289.xml,,
16971453,PMC1635290,,10.1093/nar/gkl656,PMC001xxxxxx/PMC1635290.xml,,
16982639,PMC1635291,,10.1093/nar/gkl660,PMC001xxxxxx/PMC1635291.xml,,
16984967,PMC1635292,,10.1093/nar/gkl661,PMC001xxxxxx/PMC1635292.xml,,
16963774,PMC1635293,,10.1093/nar/gkl663,PMC001xxxxxx/PMC1635293.xml,,
16982637,PMC1635294,,10.1093/nar/gkl666,PMC001xxxxxx/PMC1635294.xml,,
17012274,PMC1635295,,10.1093/nar/gkl675,PMC001xxxxxx/PMC1635295.xml,,
17003056,PMC1635296,,10.1093/nar/gkl677,PMC001xxxxxx/PMC1635296.xml,,
17023486,PMC1635297,,10.1093/nar/gkl681,PMC001xxxxxx/PMC1635297.xml,,
17020915,PMC1635298,,10.1093/nar/gkl685,PMC001xxxxxx/PMC1635298.xml,,
