pmid,pmc,doi,File,publisher-id,pii,other
15363101,PMC521697,10.1186/1475-2891-3-12,PMC000xxxxxx/PMC521697.xml,1475-2891-3-12,,
15486571,PMC521727,10.1371/journal.pbio.0020279,PMC000xxxxxx/PMC521727.xml,,,
15486572,PMC521728,10.1371/journal.pbio.0020306,PMC000xxxxxx/PMC521728.xml,,,
15486577,PMC521729,10.1371/journal.pbio.0020337,PMC000xxxxxx/PMC521729.xml,,,
,PMC521730,10.1371/journal.pbio.0020346,PMC000xxxxxx/PMC521730.xml,,,
15486582,PMC521731,10.1371/journal.pbio.0020347,PMC000xxxxxx/PMC521731.xml,,,
15486583,PMC521732,10.1371/journal.pbio.0020348,PMC000xxxxxx/PMC521732.xml,,,
15486585,PMC521733,10.1371/journal.pbio.0020350,PMC000xxxxxx/PMC521733.xml,,,
,PMC521734,10.1371/journal.pbio.0020382,PMC000xxxxxx/PMC521734.xml,,,
15350208,PMC522747,10.1186/1472-6785-4-13,PMC000xxxxxx/PMC522747.xml,1472-6785-4-13,,
15373946,PMC522748,10.1186/1471-2105-5-133,PMC000xxxxxx/PMC522748.xml,1471-2105-5-133,,
15355547,PMC522749,10.1186/1471-2369-5-11,PMC000xxxxxx/PMC522749.xml,1471-2369-5-11,,
15387887,PMC522750,10.1186/1476-5926-3-8,PMC000xxxxxx/PMC522750.xml,1476-5926-3-8,,
15367330,PMC522751,10.1186/1742-4682-1-8,PMC000xxxxxx/PMC522751.xml,1742-4682-1-8,,
15450118,PMC522803,10.1186/1741-7015-2-36,PMC000xxxxxx/PMC522803.xml,1741-7015-2-36,,
15385052,PMC522804,10.1186/1471-5945-4-12,PMC000xxxxxx/PMC522804.xml,1471-5945-4-12,,
15456516,PMC522805,10.1186/1471-5945-4-13,PMC000xxxxxx/PMC522805.xml,1471-5945-4-13,,
15450124,PMC522806,10.1186/1471-2105-5-136,PMC000xxxxxx/PMC522806.xml,1471-2105-5-136,,
15453918,PMC522807,10.1186/1471-2105-5-138,PMC000xxxxxx/PMC522807.xml,1471-2105-5-138,,
15458577,PMC522808,10.1186/1471-2121-5-37,PMC000xxxxxx/PMC522808.xml,1471-2121-5-37,,
15377393,PMC522809,10.1186/1471-2148-4-33,PMC000xxxxxx/PMC522809.xml,1471-2148-4-33,,
15387886,PMC522810,10.1186/1471-2164-5-71,PMC000xxxxxx/PMC522810.xml,1471-2164-5-71,,
15461824,PMC522811,10.1186/1471-2199-5-17,PMC000xxxxxx/PMC522811.xml,1471-2199-5-17,,
15377390,PMC522812,10.1186/1471-2202-5-35,PMC000xxxxxx/PMC522812.xml,1471-2202-5-35,,
15383151,PMC522813,10.1186/1471-230X-4-21,PMC000xxxxxx/PMC522813.xml,1471-230X-4-21,,
15387890,PMC522814,10.1186/1471-230X-4-23,PMC000xxxxxx/PMC522814.xml,1471-230X-4-23,,
15355548,PMC522815,10.1186/1471-2334-4-33,PMC000xxxxxx/PMC522815.xml,1471-2334-4-33,,
15383150,PMC522816,10.1186/1471-2334-4-37,PMC000xxxxxx/PMC522816.xml,1471-2334-4-37,,
