pmid,pmc,doi,File,publisher-id,sici,pii,other,medline,manuscript
16202149,PMC1274324,10.1186/1471-2288-5-31,PMC001xxxxxx/PMC1274324.xml,1471-2288-5-31,,,,,
16221306,PMC1274325,10.1186/1471-2288-5-32,PMC001xxxxxx/PMC1274325.xml,1471-2288-5-32,,,,,
16225692,PMC1274326,10.1186/1471-2288-5-33,PMC001xxxxxx/PMC1274326.xml,1471-2288-5-33,,,,,
16221311,PMC1274327,10.1186/1471-2474-6-50,PMC001xxxxxx/PMC1274327.xml,1471-2474-6-50,,,,,
16229748,PMC1274328,10.1186/1471-2474-6-51,PMC001xxxxxx/PMC1274328.xml,1471-2474-6-51,,,,,
16232323,PMC1274329,10.1186/1471-2385-5-5,PMC001xxxxxx/PMC1274329.xml,1471-2385-5-5,,,,,
16225704,PMC1274330,10.1186/1472-6955-4-5,PMC001xxxxxx/PMC1274330.xml,1472-6955-4-5,,,,,
16225665,PMC1274331,10.1186/1471-2458-5-109,PMC001xxxxxx/PMC1274331.xml,1471-2458-5-109,,,,,
16229740,PMC1274332,10.1186/1471-2458-5-111,PMC001xxxxxx/PMC1274332.xml,1471-2458-5-111,,,,,
16216132,PMC1274333,10.1186/1471-2210-5-14,PMC001xxxxxx/PMC1274333.xml,1471-2210-5-14,,,,,
16212660,PMC1274334,10.1186/1471-2229-5-22,PMC001xxxxxx/PMC1274334.xml,1471-2229-5-22,,,,,
16225675,PMC1274335,10.1186/1471-244X-5-35,PMC001xxxxxx/PMC1274335.xml,1471-244X-5-35,,,,,
16225677,PMC1274336,10.1186/1471-244X-5-36,PMC001xxxxxx/PMC1274336.xml,1471-244X-5-36,,,,,
,PMC1274337,10.1186/1475-925X-4-57,PMC001xxxxxx/PMC1274337.xml,1475-925X-4-57,,,,,
16202163,PMC1274338,10.1186/1745-0179-1-19,PMC001xxxxxx/PMC1274338.xml,1745-0179-1-19,,,,,
16219109,PMC1274339,10.1186/1477-7525-3-62,PMC001xxxxxx/PMC1274339.xml,1477-7525-3-62,,,,,
16209717,PMC1274340,10.1186/1476-072X-4-23,PMC001xxxxxx/PMC1274340.xml,1476-072X-4-23,,,,,
16212664,PMC1274341,10.1186/1742-2094-2-22,PMC001xxxxxx/PMC1274341.xml,1742-2094-2-22,,,,,
16197542,PMC1274342,10.1186/1476-511X-4-21,PMC001xxxxxx/PMC1274342.xml,1476-511X-4-21,,,,,
16242033,PMC1274343,10.1186/1744-8069-1-30,PMC001xxxxxx/PMC1274343.xml,1744-8069-1-30,,,,,
16209709,PMC1274344,10.1186/1743-8977-2-9,PMC001xxxxxx/PMC1274344.xml,1743-8977-2-9,,,,,
16197550,PMC1274345,10.1186/1477-7827-3-53,PMC001xxxxxx/PMC1274345.xml,1477-7827-3-53,,,,,
16212659,PMC1274346,10.1186/1465-9921-6-112,PMC001xxxxxx/PMC1274346.xml,1465-9921-6-112,,,,,
16248676,PMC1275521,10.1371/journal.pbio.0030370,PMC001xxxxxx/PMC1275521.xml,,,,,,
